Decade,Year,Name,Image,ImageDescription,Image2,Image3,ImageDescription2,ImageDescription3,Country1,Country2,Country3,Country4,Flag1,Flag2,Flag3,Flag4,NameOther,Tons burthen,Complement,Armament,Builder,Launched,Length,Propulsion,Laid down,Fate,Class,Sail plan,Port of registry,Namesake,Owner,In service,Out of service,Completed,Captured,Acquired,Commissioned,Honours andawards,Beam,Draught,Depth of hold,Ordered,Renamed,Decommissioned,Homeport,Type,Displacement,Draft,Range,Masts:,Foremast:,Mainmast:,Mizzenmast:,Other masts:,ClassRate
1600,1600,Den Røde Løve (Danish ship),,,,,,,,,,,,,,, Den Røde Løve, 70 tons, 48 men, 6 guns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,1610,Clove (ship),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,1630,The Flying Deer (ship),,,,,,,Dutch Republic,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Statenvlag.svg/42px-Statenvlag.svg.png,,,, The Flying Deer,,,,,,,,, Lost with all hands in August 1638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,1700,French ship Pélican (1702),,,,,,,France,,,,//upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Ensign_of_France.svg/42px-Ensign_of_France.svg.png,,,, Pélican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720,1720,Black Joke (1720 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Black Joke," 30, or 402(bm)",,,," 1720,or 17432",,,,,,,,," George Austin, John Tomlinson, & John Knight",,,,,,,,,,,,,,,,,,,,,,,,
1720,1720,HMS Unity (1728),,,,,,,,,,,,,,, Unity,,,,,1728,,,," Sold, 20 December 1788",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720,1720,VOC ship Akerendam,,,,,,,Dutch Republic,,,,//upload.wikimedia.org/wikipedia/commons/thumb/8/81/Flag_of_the_Dutch_East_India_Company.svg/42px-Flag_of_the_Dutch_East_India_Company.svg.png,,,, Akerendam,,,,,1724,,,, Sank near the cliffs ofRundeisland (Norwegian west coast),,,,, Dutch East India Company,,,,,,,,,,,,,,,,,,,,,,,,
1740,1740,Scarborough (1740 EIC ship),,,,,,,,,,,//upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_the_British_East_India_Company_%281707%29.svg/47px-Flag_of_the_British_East_India_Company_%281707%29.svg.png,,,, Scarborough," 499,aor 5453(bm)",99, 30 guns," Carter, Limehouse", December 1740,, Sail,, Sold 1753 for breaking up,,,,, John Raymond,,,,,,,,,,,,,,,,,,,,,,,,
1740,1741,Cam's Delight (1741 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Cams Delight," Originally:502(bm)1798 on:78, or 843(bm)", 12 (1798), 6 × 2 or 3-pounder guns (1798)," Portsmouth,2orFrehm,3or Frnhm",1741,,,, Sunk March 1838,, Schooner,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,1747,HMS Assurance (1747),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, HMSAssurance,,, 44 guns,,1747,,,," Wrecked, 1753",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
